GLCode	Description	
637350	STS SUPPORT LABOR RECHG            	
637351	STS DATA CENTER                    	
637352	STS GEOPHYSICS                     	
637353	STS RESIDENT TECH                  	
637354	STS SEABEAM                        	
637355	STS WASHINGTON                     	
637356	STS MELVILLE                       	
637357	STS NEW HORIZON                    	
637358	STS SPROUL                         	
637359	STS GRAVIMETER                     	
637360	SEDIGRAPH FACILITY RECHARGE        	
637361	STS FACILITY SUPPORT SERVICES      	
637362	BIOMED ENG FLOW CYTOMETRY CORE RCHG	
637363	SIO DIVING OPS RECHARGE            	
637364	CECR COMBUSTION FACILITY RECHARGE  	
637365	CCS HYDRAULICS LAB SVCS            	
637366	PURCHASED SECURITY SERVICES        	
637367	POLICE-ALARM MONITORING RECHARGE   	
637368	UCSD POLICE-CASH DELIVERY RECHARGE 	
637369	OCME COST DIST/FEE RECHARGE        	
637370	NEUROSCI NEUROCYTOLOGY LAB RECHARGE	
637371	SOM CSB GLASSWASH FAC RECHARGE     	
637372	CANCER CENTER PHARMACOLOGY RECHARGE	
637373	CANCER CTR BIOSTATISTICS RECHARGE  	
637374	CMM-GLYCOBIOLOGY RECHARGE          	
637375	CTR FUTURE SURGERY RCHG            	
637376	CANCER CTR FLOW CYTOMETRY RECHARGE 	
637377	CANCER CTR TRANSGENIC MICE RECHARGE	
637378	OCME-RECHARGES                     	
637379	CANCER CTR MOLECULAR PATHOLOGY RCHG	
637380	CANCER CTR-HIST/HYBRIDOMA RECHARGE 	
637381	SOM CMM-E GLASSWASH RECHARGE       	
637383	PUBLICATIONS-ART WORK RECHARGE     	
637385	CAPITAL PLANNING & BUDGETING RCHG  	
637386	LAB FOR MATH & STAT RECHARGE       	
637387	IGPP CIMS FACILITY RECHARGE        	
637388	CSE SERVICES RECHARGE              	
637389	RADIOLOGY KEVEX RECHARGE           	
637390	MPL ADMINISTRATIVE RECHARGE        	
637391	SIO ART PRODUCTION RECHARGE        	
637392	SIO EDITORIAL SVCS RECHARGE        	
637393	SIO WEB PRODUCTION RECHARGE        	
637394	SIO PHOTO LAB RECHARGE             	
637395	PHYSICS HIGH BAY ENV RECHG FACILITY	
637396	MPL ILLUSTRATION SERVICES RCHG     	
637397	OFFICE OF STDTS W/DISABILITS RECHG 	
637398	MEDIA CENTER DISTANCE LRNG RECHARGE	
637399	MEDIA CTR VIDEOCONF SVCS RCHG      	
637400	EARNINGS PAID TO DEP OF DEC EMP    	
637401	PSYCHOLOGY SUPPLY CTR FACILITY RECH	
637402	CAN CTR-CLINICAL TRIAL OFFICE RCHG 	
637403	MITOCHONDRIAL DNA LAB RECHARGE     	
637404	WIBE MICROARRAY FACILITY RECHARGE  	
637405	CREDIT CARD & BANK CHARGES         	
637406	PATHOLOGY FACSCAN FACILITY RECHARGE	
637407	PURCH SKIP TRACING/LOCATOR SVCS    	
637408	PED-FACSCALIBUR FACILITY RECHARGE  	
637409	PREUSS SCHOOL RECHARGE FAC         	
637410	BAD DEBTS                          	
637411	REPRO MED-ENDOCRINOLOGY/INFERTILITY	
637412	HOSP-PATIENT PROPERTY LOSS         	
637413	CAN CTR INFO TECHNOLOGY SERVICE    	
637414	3RD PARTY ADMINISTRATOR(TPA)EXPENSE	
637415	PROFESSIONAL CLAIMS EXPENSE        	
637416	PURCHASE SERVICES CAP              	
637417	CLAIMS AND 3RD PARTY PAYMENTS      	
637418	SUB CAP PAYMENT                    	
637419	MANAGED CARE YEAR-END DISTRIBUTIONS	
637420	UACP-CMM EAST HUSBANDRY            	
637421	UACP-VETERINARIAN SERVICES         	
637422	UACP-DIAGNOSTICS LAB               	
637423	UACP-BSB HUSBANDRY                 	
637424	UACP-CTF/SRL HUSBANDRY             	
637425	UACP-EFS HUSBANDRY                 	
637426	UACP-ANIMAL PURCHASING             	
637427	UACP-MACHINE SHOP                  	
637428	UACP-HEALTH TECHNICIAN             	
637429	UACP-CMM WEST HUSBANDRY            	
637430	UACP-ENGINEERING HUSBANDRY         	
637431	UACP-SKAGGS PHARM HUSBANDRY RECHARG	
637432	UACP RECHARGE-CLINICAL SCIENCE BLDG	
637433	UACP- TRAINING SERVICES RECHARGE   	
637434	ANESTH HORMONE ASSAY RECHARGE      	
637435	MED LIPID ANALYTICAL LAB RECHARGE  	
637436	PEDS BIOCHEM GENETICS LAB RECHARGE 	
637437	MED MOLECULAR BIO FAC RECHARGE     	
637438	SURGERY-ORTHO HIST LAB RECHARGE    	
637439	SOM GENE THERAPY LAB RECHARGE      	
637440	CANCER CENTER SUPPORT GRP RECHARGE 	
637441	CCT-RADIATION MEDICINE RECHARGE    	
637442	PURCH SERVICES MEDICAL-RECHARGE    	
637443	UACP-ANIMAL TRANSFER RECHARGE      	
637444	UACP-ASC COMPLIANCE RECHARGE       	
637445	DIGITAL IMAGE PROC LABOR CLRG RECHG	
637446	OTHER PURCHASED SERVICES-RECHARGE  	
637447	UACP-SPECIALIZED FACILITIES HSBNDRY	
637448	RECHARGE-GME EXPENSES              	
637449	PED-ANTIVIRAL ASSAY LAB RECHARGE   	
637450	"FINES, PENALTIES & DISALLOWANCES   "	
637451	LEGAL JUDGMENTS & SETTLEMENTS      	
637452	COST OF LEGAL PROCEEDINGS          	
637453	UACP-MTF HUSBANDRY                 	
637454	SOM-INTERDEPT MSCCP PHYSICIAN SVCS 	
637455	"GIFTS-FLOWERS,TICKETS,CONTRIBUTIONS"	
637456	MISC MED GROUP RELATED RECHARGES   	
637457	CANCER CENTER DNA SEQUENCING RECHRG	
637458	VCHS-CORPORATE ACCOUNT RECHARGE    	
637459	HR BACKGROUND CHECK RECHARGE       	
637460	ADVERTISING-RECRUITMENT & PROCURE  	
637461	ADVERTISING-DISPOSAL SALES         	
637462	PERSONNEL RECHARGE-JOB ADVERTISING 	
637463	ADVERTISING-GUARDIAN RECHARGE      	
637464	HSG&DINE SVC-CONFERENCE SVC RECHARG	
637465	MEALS-PARTIES & SOCIAL EVENTS      	
637466	MEETING COSTS-PARTIES/SOCIAL EVENTS	
637467	WHITE MT RESEARCH STATION RECHARGE 	
637468	HR ARBITRATION/COLL BARGAINING RCHG	
637469	PATHOLOGY HISTOLOGY LAB RECHARGE   	
637470	SIO MULTIMEDIA GROUP DIRECTOR RCHRG	
637471	MUSIC & OTHER PERFORMANCE SERVICES 	
637472	PURCHASED MICROFILM SERVICES       	
637473	PURCH DOC SHREDDING & DISPOSAL SVCS	
637474	SIO DIGITAL IMAGING SERVICES RCHRG 	
637475	SIO CARPENTER SHOP RECHARGE        	
637476	BIO ELECTRONIC SHOP LABOR RECHARGE 	
637477	MATL MGMT MOVING SERVICE RECHARGE  	
637478	CMM OLIGONUCLEO/IDE SYNTHESIS RECHG	
637479	CANCER CENTER-DIGITAL IMAGING RCHRG	
637480	DUES/MEMBERSHIP-CIVIC & SOCIAL     	
637481	SUBSCRIPTION-GENERAL INTEREST      	
637482	FAC CLUB RECHARGE-DUES             	
637483	MARINE INSURANCE                   	
637484	UCML 2000 CONFERENCE RECHARGE      	
637485	PERSONNEL TRAINING CLASS RECHARGE  	
637486	CAMPUS REC-REC CARD RECHARGE       	
637487	CAMPUS REC-REC CLASS RECHARGE      	
637488	CAMPUS REC ADVERTISING RECHARGE    	
637489	CCT-NUTRITION SHARED RESOURCES RCHG	
637490	"MED CENTER EMPLOYEE ""SPOT"" AWARDS  "	
637491	VCHS-CEO OFFICE RECHARGE           	
637492	VCHS-CFO OFFICE RECHARGE           	
637493	VCHS-BUSINESS DEV OFFICE RECHARGE  	
637494	VCHS-HLTH AFFRS GOVT/COMM REL RCHG 	
637495	INTERNAL AUDIT RECHARGE            	
637496	VCHS-DIR MC/CONTRACT SERVICES      	
637497	VCHS-CHIEF MEDICAL OFFICER         	
637498	VCHS-COD OFFICE RECHARGE           	
637499	RECHARGES-OTHER MISC SERVICES      	
637500	PAYMENT OF UCRS BENEFITS           	
637501	MED/RDCC-MOLECULAR BIO CORE RECHGS 	
637502	MED/RDCC-ANIMAL GENETICS CORE RCHGS	
637503	MED/RDCC-BIOMARKER CORE RECHARGES  	
637504	VCHS-CARDIO VASCULAR CENTER        	
637505	OFF-SITE CLIN TRIAL RESEARCH-OTHER 	
637506	OFF-SITE CLIN TR (NO IDC)          	
637507	CAMPUS REC-MASTERS PROGRAM RECHARGE	
637508	CAMPUS REC-WEIGHT ROOM RECHARGE    	
637509	PATH-LYMPHOCYTE PROLIFERATION ASSAY	
637510	RAD-FUNCT. MAGNETIC RES IMAGING    	
637511	PURCH SVCS MEDICAL - KIDNEY        	
637512	PURCH SVCS MEDICAL - LIVER         	
637513	PURCH SVCS MEDICAL - HEART         	
637514	PURCH SVCS MEDICAL - HEART/LUNG    	
637515	PURCH SVCS MEDICAL - PANCREAS      	
637516	MED-PULMONARY CLINICAL TRIAL/ADMIN 	
637517	MED-PULMONARY CLIN TRIAL/CLINICAL  	
637518	VCHS-BIOSTATISTICS INFORMATION LAB 	
637519	VCHS-PHYSICIAN IN CHIEF            	
637520	SOM-INSTITUTIONAL REVIEW BOARD     	
637521	OCME-DEPARTMENTAL RECHARGES        	
637522	SOM CLINICAL TRIALS OFFICE RECHARGE	
637523	VCHS-TERTIARY & QUATERNARY REF SVCS	
637524	UC/CSU JOINT ED.D PROGRAM TRANSFER 	
637525	DISBURSEMENT LATE FEES/PENALTIES   	
637526	SOM LEICHTAG GLASSWASH FAC RECHARGE	
637527	CANCER CENTER LASER CAPTURE RECHRGE	
637528	SOM LAB SUPPORT SERVICES           	
637529	SOM INFORMATION TECH SUPPORT GROUP 	
637530	IOD H-LAB RECHARGE                 	
637531	UACP MCC HUSBANDRY                 	
637532	UACP LBRB HUSBANDRY 62005A         	
637533	UACP SKCC HUSBANDRY 62005A         	
637534	UACP RIU HUSBANDRY 62005A          	
637535	UACP ABSL2 HUSBANDRY 62005A        	
637536	UACP VIVARIA MANAGEMENT 62005A     	
637537	UACP CTF BREEDING                  	
637538	UACP AAALAC COMPLIANCE             	
637539	UACP SCR BAR                       	
637540	UACP CTF ABSL                      	
637541	UACP BHN                           	
637542	UACP GNH1                          	
637543	UACP GNH2                          	
637544	UACP NSB                           	
637545	UACP PCH                           	
637546	PURCH SVCS MEDICAL-BOWEL           	
637547	UACP-EXPRESS CARD ANIMAL ACQUISTION	
637548	UACP-CMM WEST ZEBRAFISH HUSBANDRY  	
637549	UACP IRRADIATOR SVCS RECHARGE 62005	
637550	PRE- & POST DOCTORAL STIPENDS      	
637551	STS HIGN SEAS NET RECHARGE         	
637552	UACP HOPKINS RESEARCH RCHG         	
637553	VCHS TELEMEDICINE - CLINICAL-RCHG  	
637554	T&PS COMPRESSED NATURAL GAS        	
637555	HIGH SEAS NET SHIP DAYS USE RECHARG	
637556	CHEMISTRY CRYOELECTRON RECHARGE    	
637557	CHEM BIOPHYS INSTRUMENTATION RCH   	
637558	CHEM INORGANIC CHARAC INSTRMNT RCH 	
637559	STIPENDS/AWARDS-NON UC PERSNL      	
637560	NSF R/E UNDERGRAD STIPEND          	
637562	FED EXCESS $$ FR OTHER INSTIT-NOIDC	
637564	PRE-DOC STUDENT HEALTH INS PLAN    	
637565	PARTICIPANT COSTS-NOT SUBJ TO IDC  	
637566	TUITION & FEES                     	
637567	PARTICIPANT COST-SUBJ TO IDC       	
637568	ESPP COST DIST RECHARGE            	
637569	VENDOR SUPPORT                     	
637570	HUMAN SUBJECTS - RECRUITMENT MATER.	
637571	HUMAN SUBJECTS-LAB & CLINICAL SVCS 	
637572	HUMAN SUBJECTS-MILEAGE/TRAV REIMBRS	
637573	HUMAN SUBJECTS-ADVERT FOR RECRUITMT	
637574	HUMAN SUBJECTS-ADVERSE EVENTS      	
637575	HEALTH INS POSTDOCS/VISITING SCHOLA	
637576	CAMPUS REC CHALLENGE COURSE        	
637577	ALLOWANCES-RELOCATION & TRAVEL     	
637578	MATL MGMT SHIPPING SERVICE RECHARGE	
637579	SAFETY FIRE & ENVIRONMENTAL SERVICE	
637580	EH&S RECHARGE                      	
637581	EH&S HAZARDOUS WASTE & ENV SVCS RCH	
637582	EH&S OHH & INDUSTRIAL HYGIENE RCH  	
637583	EH&S SAFETY & PEST MGMT RCH        	
637584	EH&S RUA & DOSIMETRY BADGE         	
637585	EH&S RISK MANAGEMENT RECHARGE      	
637586	EH&S-FIRE SAFETY SERVICES          	
637589	MEETINGS-BUSINESS EVENTS           	
637590	DOCUMENTATION FEES                 	
637591	SPORTS SERVICES AND FEES           	
637592	STUDENT/NON-STUDENT PROG ACTIVITY  	
637593	GRADUATE STDT FEE AWARD EXPENSES   	
637594	CAMPUS POLICE-PROJECT SPECIFIC     	
637595	PURCHASED SECURITY SVC-PROJECT SPEC	
637596	POLICE-ALARM MNTR RECHG-PROJECT SPE	
637597	REPAIR MATR/PARTS-PROJECT SPECIFIC 	
637598	MEETING/CONF RECHARGE-HOSPITALITY  	
637599	MEETING/CONF RECHARGE-BUSINESS/TECH	
637600	COMPUTING & DATA PROCESSING SERVICE	
637601	SDSC IT & DESKTOP SERVICES RECHARGE	
637602	SDSC HEC-STORAGE                   	
637603	SDSC HIGH END COMPUTING RECHARGE   	
637604	SDSC NETWORKING SEVICES            	
637605	MBRD DNA SEQUENCER RECHARGE        	
637606	SBS BILLING STATEMNT PROCESS CHARGE	
637607	SDSC FACILITY USE RECHARGE         	
637608	ACT MISC NETWORK RECHARGE          	
637610	COMPUTING & DATA PROCESS SERV-ADMIN	
637611	COMPUTER OUTPUT SERVICES           	
637612	COMPUTER PROGRAMMING SERVICES      	
637613	COMPUTER RELATED SERVICES-OTHER    	
637614	COMPUTER MEDIA OFF-SITE STORAGE    	
637615	PURCH COMP CONSULTING & TECH SVCS  	
637616	UNIV EVENTS RECHG                  	
637617	IRPS PRINTING FEES                 	
637619	IRPS SHARED PRINTING FEES RECHG    	
637620	COMPUTING & DATA PROCESS SERV-ACAD 	
637621	COMPUTING SVCS-ACC VMS/VAX         	
637622	COMPUTING SVCS-ACC CATT            	
637623	COMPUTING SVCS-CASS HEAR FACILITY  	
637624	COMPUTING SVCS-CHEMISTRY           	
637625	COMPUTING & DATA PROCESS SERV-LAN  	
637626	COMPUTING SVCS-STS SHIPBOARD       	
637627	ACS NET OPS MISC NETWORK SVCS RECHG	
637628	COMPUTING SVCS-SOCIAL SCIENCES     	
637629	PHYSICS COMPUTER FACILITY RECHARGE 	
637630	COMPUTING SVCS-MAC'S PLACE         	
637631	COMPUTING SVCS-CASS VAX FACILITY   	
637632	ENG COMPUTER MONTHLY FACILITY RCHGE	
637633	ACS MODEM POOL RECHARGE            	
637634	SIO PORD NIERENBERG NETWORK RCHG   	
637635	LOWER SIO NETWORK RECHARGE         	
637636	MPL COMPUTER SUPPORT SVCS RECHG    	
637636	MPL COMPUTER SUPPORT SVCS RECHG    	
637637	ACS DESKTOP/WEB SUPPORT SVCS RECHG 	
637638	CRD CLIMATE COMPUTING FAC RECHARGE 	
637639	ACS SOFTWARE SVCS RECHARGE         	
637640	AMES COMPUTER FACILITY             	
637641	ENG COMPUTER TIME & MATERIALS RECHG	
637642	PURCHASED SOFTWARE MAINT&SUPPORT SV	
637643	SDSC SOFTWARE MAINT/LIC RENEW >$50K	
637644	MBRD VELIGER ANALYSIS RECHARGE     	
637645	BIOENG FUNG AUDITORIUM RECHARGE    	
637646	INTERNATIONAL CTR VISA RECHARGE    	
637647	IOD COMPUTATIONL INFRASTRCTRE RECHG	
637648	AS GRAPHICS STUDIO RECHARGE        	
637649	SDSC CO-LOCATION RECHARGE          	
637650	UNEX-TEACHER/INSTRUCTIONAL EXPENSES	
637651	NIERENBERG HALL 214C FAC USE RCHRG 	
637654	UACP-MCGILL HALL HUSBANDRY         	
637655	UACP COEM-ACP HEALTH PHYSICALS     	
637656	UACP COEM-SOM HEALTH PHYSICALS     	
637657	UACP COEM-NON ACP HEALTH PHYSICALS 	
637658	UACP BEHAVIORAL CORE               	
637661	INTERCOLLEGIATE ATH-ENTRANCE FEES  	
637662	INTERCOLLEGIATE ATH-OFFICIATING FEE	
637663	INTERCOLL ATH-FINANCIAL GUARANTEES 	
637664	INTERCOLLEGIATE ATH-RECRUITING MAIL	
637665	MC PURCH SVCS MED-POST TRANSPLANT  	
637670	CASH RECEIPTS-EXPENDITURE CREDITS  	
637671	PETTY CASH REIMBURSEMENTS          	
637680	SOM MICROSCOPY-SHARED FAC          	
637690	POLLUTION REMEDIATION COST         	
637691	SDSC TAPP RECHARGE                 	
637692	ANESTHESIOLOGY CORE IMAGING RCH    	
637693	OGSR VISITING SCHOLARS PROGRAM RCHG	
637700	EMERGENCY REPAIRS                  	
637710	PLANT-CONSTRUCTION                 	
637720	PLANT-UTILITIES                    	
637740	PLANT-LANDSCAPING                  	
637750	PLANT-CONSULTANTS                  	
637760	PLANT-FACIL MGMT SVCS              	
637770	"PLANT-SURVEYS, PLANS, ETC.         "	
637780	PLANT-SPECIAL ITEMS                	
637781	PLANT SPECIAL ITEMS INTEREST EXPENS	
637782	PLANT SPECIAL ITEMS INTEREST INCOME	
637783	PLANT SPECIAL ITEMS STIP           	
637784	PLT SPEC ITEMS COST/ISSUE/LOAN FEES	
637785	PLANT SPECIAL ITEMS-TRUSTEE SERVICE	
637786	PLANT SPECIAL ITEMS-BOND PREMIUM   	
637787	PLANT SPECIAL ITEMS-LITIGATION LOST	
637788	PLANT SPECIAL ITEMS-MISCELLANEOUS  	
637790	PLANT-BUDGET                       	
637799	DONT REACTIVATE-SCHOOL ALLOW-GAOJZL	
637800	LAUNDRY SERVICES                   	
637801	EXPRESS ORDER-LAUNDRY SERVICES     	
637810	OTHER LOSSES-OTHER THAN CAP ASSETS 	
637820	SHIPS BERTHING FEES                	
637821	INS REC CUR YR OTHR THAN CAP ASSETS	
637828	OTHER OPERATING LOSSES             	
637829	HOSP WC LOAN & STIP FINANCING COSTS	
637830	CENTER FOR HEALTH CARE-INTEREST    	
637834	RECREATION FITLIFE RECHARGE        	
637835	CALIT2 PROJECT EVENTS-SERVER RECHG 	
637836	CALIT2 NANO3 RECHARGE              	
637837	STRUCTR ENG/ELLIOTT FLD STN RECHG  	
637838	CALIT2 PHOTONICS RECHARGE          	
637840	BIOLOGY XRAY MATERIAL              	
637841	BIO DROSOPHILA SPECIES RECHARGE    	
637842	BIOLOGY DRY ICE MATERIAL RECHG FAC 	
637843	BIO BONNER CONFOCAL SCOPE RECHG FAC	
637844	NSB FLOW CYTOMETRY SERVICE         	
637845	BIOLOGY IMAGING CENTER             	
637846	BIOLOGY DELTA VISION RECHARGE      	
637848	SOE BIOENG DEVLPMT ENG RECHARGE    	
637850	MAE ELECTRON MICROSCOPE FAC        	
637852	PHYSICS/MATL & DEVICES FAC RECHARGE	
637855	ECE E-BEAM FACILITY                	
637856	ECE INTEGRATED TECHNOLOGIES LAB    	
637860	TECH TRANS OFFICE-ROYALTY DISTRIB  	
637862	TTO COPYRIGHT DISTRIBUTION         	
637863	MTA DISTRIB OF REIMBURSD EXPENSE-UC	
637865	TTO-LEGAL EXPENSE                  	
637866	TTO LEGAL EXPENSE REIMB-NON-UC     	
637867	TTO LEGAL EXPENSE REIMB-UC         	
637868	HEALTH OUTCOME ASSESSMENT RECHARGE 	
637869	RESEARCH COMPLIANCE PROGRAM RCHG   	
637870	RAD MAGNETOENCEPHALOGRAPHY RECHARGE	
637871	MED/CARDIOVASC PHYSIOLOGY CORE RCHG	
637872	PED-NCLAM FEE RCHG                 	
637873	PATHOLOGY MOUSE PHENOTYPING RECHARG	
637874	SOM HUMAN STEM CELL CORE FAC RCHRG 	
637875	CLINICAL&TRNSLTNL RSRCH INST R3    	
637876	RADIOLOGY IMAGING LAB RECHARGE     	
637877	RADIOLOGY IN VIVO IMAGING RECHARGE 	
637878	RADIOLOGY PET IMAGING RECHARGE     	
637879	FAM&PREV EXRCISE&PHYSICAL ACT RCHRG	
637880	PSYCHIATRY BIOMARKER LAB RECHARGE  	
637881	CANCER CTR MEDICINAL CHEMISTRY RCHG	
637882	CANCER CTR LIQUID NITROGEN RECHARGE	
637883	PROFESSIONAL DEVELOP CTR RECHARGE  	
637884	CANCER CTR BIOREPOSITORY RECHARGE  	
637885	PED-CTR MGMT SCI IN HEALTH RCHRG   	
637886	RADIOLOGY 1.5 TESLA MRI LJ RCHG    	
637887	RADIOLOGY 3TESLA MRI RECHARGE      	
637888	PHARMACOLOGY IT RECHARGE           	
637889	MSCCP ALLOCATED BILLING EXPENSE    	
637890	MSCCP ADMINISTRATION               	
637891	MSCCP REGISTRATION                 	
637892	MSCCP MEDICAL RECORDS              	
637893	MSCCP MANAGED CARE ADMINISTRATION  	
637894	MSCCP ABSTRACTING                  	
637895	MSCCP AUTHORIZATION                	
637896	MSCCP DEPARTMENT CLINICAL INDIRECT 	
637897	MSCCP SOM DEANS OFFICE CLINICAL O/H	
637898	MSCCP CLINICAL O/H                 	
637899	RADIOLOGY MULTIMODAL IMAGING RCHG  	
637900	HONORARIA                          	
637901	MED ED EVALUATIONS RECHARGES       	
637905	SPEAKER'S FEE                      	
637908	PHARM NUCLEAR MAG RESONANCE RCHG   	
637910	PREUSS DISTRICT OVERSIGHT FEE      	
637911	PREUSS DISTRICT REQUIRED SVC REIMB 	
637912	PREUSS APPROVED TEXT BOOK          	
637913	PREUSS DISTRICT MISC SERVICES REIMB	
637914	PREUSS DISTRICT TRANSPORTATION     	
637920	RESTORATION PLAN 415 (M) EXPENSE   	
637930	GENERAL LIABILITY PROGRAM          	
637931	GAEL OP PRIOR YEAR ADJUSTMENT      	
637935	AUTO PHYSICAL DAMAGE INSURANCE     	
637936	AUTO LIABILITY INSURANCE           	
637941	BAD DEBT EXPENS-STATE GOVT GA USE  	
637942	BAD DEBT EXPENSE-FEDERAL GOVT      	
637943	BAD DEBT EXP-MEDICAL CENTER PATIENT	
637944	BAD DEBT EXPENSE-AUXILIARY ENTERPR 	
637945	BAD DEBT EXPENSE-EDUCATIONAL ACTIV 	
637946	BAD DEBT EXPENSE-OTHER GA USE ONLY 	
637947	BAD DEBT EXP-MED CENTER NON-PATIENT	
637950	WRITE-OFF OF UNCOLLECTIBLE ITEMS   	
637970	SANFORD CRM OPERATING COSTS/3RD PTY	
638000	OTHER SUPPLIES                     	
638001	GENERAL BOOKS-PAPERBACK            	
638002	GENERAL BOOKS                      	
638003	BOOKSTORE RECHARGE-SUPPLIES/SUNDRY 	
638004	A.S. CLASS MATERIALS               	
638005	COMPUTING SUPPLIES-CARDS           	
638006	OPAFS WRITE-OFF NO IDC             	
638007	OPAFS WRITE-OFF WITH IDC           	
638008	GA USE ONLY-AGENCY FNDS/YE CLOSING 	
638009	AUTOMOTIVE SUPPLIES                	
638010	MEDICAL SUPPLIES                   	
638011	CHEMICALS                          	
638012	HOSPITAL PURCHASE DISCOUNT CREDITS 	
638013	CONTROLLED DRUGS/NARCOTICS         	
638014	UCSD SURPLUS PROPERTY SALES        	
638015	COMPUTING SUPPLIES-PAPER           	
638016	INVENTORY ACCRUALS                 	
638017	ACCTS PAYABLE ACCRUALS             	
638018	EXPRESS CARD-OTHER SUPPLIES & EXP  	
638019	SOM TISSUE CULTURE FAC RECHARGE    	
638020	CHEMICALS                          	
638021	LIQUID NITROGEN                    	
638022	CRAFT CENTER RECHARGE              	
638023	PHYSICS HIGH BAY HELIUM RECHARGE   	
638024	BIO FLY KITCHEN FAC RECHARGE       	
638025	COMPUTING SUPPLIES-MAG TAPES       	
638026	PHOTOGRAPHIC SUPPLIES              	
638027	BIO MACHINE SHOP MATERIEL RECHARGE 	
638028	BIO ELECTRONIC SHOP MATL RECHARGE  	
638029	BIO MAINT & REPAIR MATL RECHARGE   	
638030	LAB GLASS/CERAMICS                 	
638031	PROSTHESIS                         	
638032	SUTURES & SURGICAL NEEDLES         	
638033	SURGICAL PACKS & SHEETS            	
638034	SURGICAL SUPPLIES GENERAL          	
638035	NITRIC OXIDE GAS                   	
638036	OXYGEN MED GAS                     	
638037	IV SOLUTIONS                       	
638038	PHARMACEUTICALS                    	
638039	RADIOACTIVE MATERIALS              	
638040	RADIOLOGY FILM                     	
638041	OTHER MED CARE MAT & SUPPLIES      	
638042	LAB SUPPLIES                       	
638043	"FOOD, SHIPS OPERATIONS             "	
638044	LINEN & BEDDING                    	
638045	MAINTENANCE AND CLEANING SUPPLIES  	
638046	OFF & ADMINISTRATIVE SUPPLIES      	
638047	EMPLOYEE WEARING APPAREL           	
638048	MEDICAL INSTRUMENTS                	
638049	"OTHER MINOR EQUIPMENT $200-$1,499  "	
638050	OTHER NON-MEDICAL SUPPLIES         	
638051	FURNITURE $200-1499                	
638052	REPAIR MATERIALS & PARTS           	
638053	REPR & REPL PARTS RAD EQUIP        	
638054	FERTILIZERS & PESTICIDES           	
638055	STOREHOUSE RETURNS                 	
638056	TELECOM EXPENDABLE SUPPLIES        	
638057	STOREHOUSE & OTHER RETURNS/ADJUST  	
638058	EXPRESS ORDER-LAB SUPPLIES         	
638059	COPIER PAPER                       	
638060	GLASSBLOWING SHOP                  	
638061	COPIER TONER AND SUPPLIES          	
638062	CHEMISTRY STORES                   	
638063	LABORATORY/RESEARCH ANIMAL FEED    	
638064	LAB/RESEARCH ANIMAL SUPPLIES       	
638065	LABORATORY/RESEARCH ANIMALS        	
638066	PHYSICS ELEC SHOP MATERIALS RECHG  	
638067	HOUSING - S&E DISTRIBUTION         	
638068	ELECTRICAL SUPPLIES                	
638069	ELECTRONIC SUPPLIES                	
638070	OFFICE SUPPLIES                    	
638071	STOREHOUSE PURCHASES-CAMPUS        	
638072	OTHER PURCHASES                    	
638073	MAILROOM PURCHASES-POSTAGE         	
638074	MATERIAL HANDLING SUPPLIES         	
638075	PHARMACY-DRUGS-PURCHASES           	
638076	WIRE ROPE                          	
638077	PACKAGING & PACKING SUPPLIES       	
638078	PURCHASED COMPUTER SUPPLIES-OTHER  	
638079	COMP SOFTWARE PURCHASES & LICENSES 	
638080	PROVISIONS                         	
638081	CLOTHING                           	
638082	EDUCATIONAL TV/AV SERVICE          	
638083	LUBE OIL & GREASE                  	
638084	FUEL & LUBE                        	
638085	REPAIR PARTS                       	
638086	TOBACCO/CONFECTION                 	
638087	MISC RESALE ITEMS                  	
638088	SHIP/NAVIGATION SUPPLIES           	
638089	TELECOM - OTHER MATERIALS          	
638090	TRITON PLUS CARD RECHARGE          	
638091	CLINICAL TRIAL STUDY SUPPLIES      	
638092	CLINICAL TRIAL TESTING SUPPLIES    	
638093	TICKET PURCHASES                   	
638094	GIFTS/AWARDS FOR EMPLOYEES-NON CASH	
638095	TRANSFERS TO GENERAL FUND          	
638096	PLANT ACCTG Y/E CR ENTRY ONLY-OTH  	
638098	UNEX-EVEN YR-PREPAID EXP S&E       	
638099	UNEX-ODD YR-PREPAID EXP S&E        	
638100	NON-INVENTORIAL EQUIPMENT          	
638101	BOOKSTORE NEW TEXTS                	
638102	BOOKSTORE GENERAL BOOKS            	
638103	BOOKSTORE MEDICAL BOOKS            	
638104	BOOKSTORE SCHOOL/OFFICE SUPPLIES   	
638105	BOOKSTORE CLOTHING/GIFTS           	
638106	BOOKSTORE NON-TAXABLE SUNDRIES     	
638107	BOOKSTORE COMPUTER/ELECTRONICS     	
638109	FUEL & LUBE-PROJECT SPECIFIC       	
638110	BOOKSTORE REMAINDER BOOKS          	
638111	BOOKSTORE USED TEXTS               	
638112	BOOKSTORE MAGAZINES                	
638113	BOOKSTORE TECHNICAL BOOKS          	
638116	BOOKSTORE TAXABLE SUNDRIES         	
638117	BOOKSTORE MED SOFT GOODS           	
638118	BOOKSTORE MED INSTRUMENTS          	
638119	BOOKSTORE ANATOMICAL CHARTS        	
638120	VEGETABLES(PRODUCE)                	
638125	FROZEN PRODUCTS                    	
638130	MC NON-CAP DURABLE SUPP $1500-2499 	
638135	BLOOD PRODUCT PURCHASES            	
638139	BOTTLED WATER                      	
