Business	Category	SubCategory	AKA	Contact	Address	City	ST	ZIP	Phone	FAX	License	Ethnicity	Email
URBAN DESIGN CONSULTING ENGINEERS	CIVIL ENGINEER                     			Jason J. Ling	"4400 Market Street, Suite 800"	Oakland	CA	94608	(510) 868-1085	(510) 225-1782	C 60493	A/P	jasonling@urbandesignce.com
PERSONAL COMPUTERS FOR LESS        	COMPUTER & OFFICE EQUIPMENT        		P C'S FOR LESS                     	Donald  Marshall	1309 Fillmore Street          	San Francisco                 	CA	94115	(415) 346-1692	(415) 346-1693	0	BLK	
PERSONAL COMPUTERS FOR LESS        	COMPUTER MAINTENANCE & REPAIR      		P C'S FOR LESS                     	Donald  Marshall	1309 Fillmore Street          	San Francisco                 	CA	94115	(415) 346-1692	(415) 346-1693	0	BLK	
"AEW ENGINEERING, INC."	COMPUTER PREPACKAGED SOFTWARE      		                                   	Kenneth  Leung	"55 New Montgomery Street,.Suite 722"	San Francisco                 	CA	94105	(415) 495-8400	(415) 358-5598	C 47529	A/P	kleung@aewengineering.com
"BIG CITY CONCRETE PUMPING, INC"	"CONCR PUMP, SAW, GUNITE (D-6)      "			James  Larks	936 Sheridan Street	Vallejo	CA	94590	(510) 435-4447	(707) 642-6281	0	BLK	jameslarks@att.net
DEHARO-RAMIREZ CORP DBA DEHARO RAMIREZ GROUP	CONCRETE (C-8)                     		                                   	Marco A. Ramirez	"850 South Van Ness Ave., Ste 37"	San Francisco                 	CA	94110	(415) 552-3504	(415) 552-3505	776852	LAT	deharoramirezgroup@yahoo.com
MLS CONSTRUCTION	CONCRETE (C-8)                     		                                   	Kelly  Lai	368 - 31st Avenue             	San Francisco                 	CA	94121	(415) 752-7521	(415) 752-7537	609022	A/P	klai128@yahoo.com
ON THE LEVEL CONCRETE	CONCRETE (C-8)                     			Eric L. Jones	2246 Jerrold Avenue	San Francisco	CA	94124	(415) 407-3695	(707) 429-3523	813145	BLK	ericjones68@comcast.net
P & A CONSTRUCTION COMPANY	CONCRETE (C-8)                     			Charlie Yu-Hwa  Pa	493 Vienna Street	San Francisco	CA	94112	(415) 334-7511	(415) 334-5701	B 674253	A/P	pa_construction@hotmail.com
"PARS POWER, INC."	CONCRETE (C-8)                     		CALWEST CONSTRUCTION & CALWEST CONCRETE	Rajen J. Patel	"1255 Post Street, Suite 532"	San Francisco	CA	94109	(415) 420-8537	(415) 236-6180	885711	EIN	Calwestcon@gmail.com
R & W CONCRETE CONTRACTORS INC.    	CONCRETE (C-8)                     		                                   	Brian Joseph  Rodrigues	"1415 Indiana Street, Suite 303"	San Francisco                 	CA	94107	(415) 401-6162	(415) 401-6161	306552	LAT	brianr@pacbell.net
AIM TO PLEASE JANITORIAL           	CONSTRUCTION CLEAN UP (D-63)       		                                   	Chris  Washington	P.O. Box 24550	San Francisco                 	CA	94124	(415) 826-0540	(415) 333-4083	0	BLK	cw@atpjanitorial.com
BIG AL'S CONSTRUCTION CLEAN-UP	CONSTRUCTION CLEAN UP (D-63)       			Lamart  Scoggins	351 Ghormley Avenue	Oakland	CA	94603	(510) 435-7753	(510) 528-0095	881447	BLK	tcgrimefighter@aol.com
CONSOLIDATED CLEANING SERVICES     	CONSTRUCTION CLEAN UP (D-63)       		                                   	Kurt  Grannis	2515 Willow Street	Oakland                       	CA	94607	(510) 663-2585	(650) 992-4455	778783	BLK	joann@consolidated-cleaning.com
FINAL CLEAN INC	CONSTRUCTION CLEAN UP (D-63)       			Joanne M. King	2515- A Willow Street	Oakland	CA	94607-1710	(510) 452-9259	(510) 225-2316	896949	BLK	joanne@finalcleaninc.com
L.C.S.                             	CONSTRUCTION CLEAN UP (D-63)       		                                   	Larry  White	"2342 Shattuck Ave., #131      "	Berkeley                      	CA	94704	(510) 528-8425	(510) 528-8425	735598	BLK	
RAINBOW BAY AREA ENTERPRISES       	CONSTRUCTION CLEAN UP (D-63)       		                                   	Henry C. Holland	2835 Beard Terrace	Fremont	CA	94555	(510) 791-0644	(510) 791-0655	765106	BLK	enterprisesrainb@aol.com
SOS DEMO CLEANUP SERVICES	CONSTRUCTION CLEAN UP (D-63)       			Douglas N. Beecher	224 Tanglewood Drive	Richmond	CA	94806	(510) 478-3943	(510) 223-0195	740954	BLK	douglas.beecher@sosdemocleanup.com
W W C WINDOW CLEANING INC          	CONSTRUCTION CLEAN UP (D-63)       		                                   	Ronald  Terry	1305 Carroll Avenue           	San Francisco                 	CA	94124	(415) 647-1880	(415) 467-3136	861588	BLK	wwcwindows@aol.com
"M HERNANDEZ CONSTRUCTION, INC"	CONSTRUCTION ZONE TRAFFIC CONTROL  			Mariano D. Hernandez	"2601 Mission Street, Suite 215"	San Francisco	CA	94110	(415) 824-4731	(415) 824-4696	756488	LAT	mhernandez@covad.net
"N T K CONSTRUCTION, INC."	CONSTRUCTION ZONE TRAFFIC CONTROL  			Sammy  Kwok	"501 Cesar Chavez St., Ste. 123"	San Francisco	CA	94124	(415) 643-1900	(415) 643-1300	851273	A/P	tqt64@aol.com
A F A CONSTRUCTION INC             	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Ralph L. Hodge	2040 Peabody Road	Vacaville	CA	95687	(707) 974-2146	(707) 585-0443	632136	BLK	
AGS INC	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Dennis C. Wong	"111 New Montgomery St, Ste 500"	San Francisco                 	CA	94105	(415) 777-2166	(415) 777-4874	C 70513	A/P	twong@agsinc.com
APEX TESTING LABORATORIES	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Abdel-kader  Khelifa	"3450 - Third Street, #3E"	San Francisco                 	CA	94124	(415) 550-9800	(415) 550-9880	C 57368	BLK	abdel@apextestinglabs.com
BDI INC	COST ESTIMATING/CONSTRUCTION MGT   		BDI	Calvin  Hayes	"1485 BAYSHORE BLVD., Box 157"	San Francisco	CA	94124	(415) 671-2150	(415) 671-2157	0	BLK	cphbdi@aol.com
BEST DESIGN & CONSTRUCTION COMPANY 	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Judy Yuen  Ng	"100 Old County Road, Suite 100C"	Brisbane	CA	94005	(415) 452-8676	(415) 452-3476	488693	A/P	best_design@msn.com
CONSTRUCTION MANAGEMENT WEST       	COST ESTIMATING/CONSTRUCTION MGT   		"RECIO AIA, LIONEL JOSEPH           "	Lionel Joseph Recio	"930 Montgomery Street, #302   "	San Francisco                 	CA	94133	(415) 397-6102	(415) 397-4441	C 24692        	LAT	cmwest@flash.net
DABRI INCORPORATED                 	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Ajay  Singh	1321 Palm Avenue              	Martinez                      	CA	94553	(925) 313-9237	(925) 313-9286	B 804774	A/P	ajay@dabri.com
F E JORDAN ASSOCIATES INC	COST ESTIMATING/CONSTRUCTION MGT   			Frederick E Jordan	"11 Embarcadero West, Suite 210"	Oakland	CA	94607	(510) 763-2400	(510) 399-0244	C17468	BLK	fejoak@fejordan.com
FILLON SOLIS ARCHITECTS INC.	COST ESTIMATING/CONSTRUCTION MGT   			Alfonso K. Fillon	401 Terry A Francois Blvd #208	San Francisco                 	CA	94158	(415) 541-0288	(415) 541-0188	28828	LAT	fillondesign@sbcglobal.net
"FINGER, MOY & GUADAGNE"	COST ESTIMATING/CONSTRUCTION MGT   		F M G ARCHITECTS	Stanley Yip  Moy	330 15th Street	Oakland	CA	94612	(415) 956-5211	(415) 956-5060	C27982	A/P	rfinger@fmgarchitects.com
GILBERT CHAN                       	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Gilbert  Chan	1 Borica Street               	San Francisco                 	CA	94127	(415) 309-9782	(415) 337-9782	B-494884	A/P	gilchan@comcast.net
HOLLINS CONSULTING	COST ESTIMATING/CONSTRUCTION MGT   			Guy  Hollins	3974A 23rd Street	San Francisco	CA	94114	(415) 238-1300		0	BLK	
LEE INCORPORATED	COST ESTIMATING/CONSTRUCTION MGT   			Ellen  Lee	"166 Geary Street, Suite 402"	San Francisco	CA	94108	(415) 421-2758	(415) 421-6762	C20864	A/P	el@leei.com
M LEE CORPORATION	COST ESTIMATING/CONSTRUCTION MGT   		"LEE CORPORATION, M"	Martin Y. Lee	"500 Sutter Street, Suite 923"	San Francisco	CA	94102	(415) 693-0236	(415) 693-0237	0	A/P	mlee@mleecorp.com
"MICHIO YAMAGUCHI, ARCHITECT"	COST ESTIMATING/CONSTRUCTION MGT   			Contact  Person	375 30th Avenue	San Francisco                 	CA	94121	(415) 346-6130	(415) 346-6126	C 7112         	A/P	michioy@pacbell.net
"PARS POWER, INC."	COST ESTIMATING/CONSTRUCTION MGT   		CALWEST CONSTRUCTION & CALWEST CONCRETE	Rajen J. Patel	"1255 Post Street, Suite 532"	San Francisco	CA	94109	(415) 420-8537	(415) 236-6180	885711	EIN	Calwestcon@gmail.com
"REGENT CONSTRUCTION MANAGEMENT, LLC"	COST ESTIMATING/CONSTRUCTION MGT   			Christian F. Rivera	480 Corbett Avenue	San Francisco	CA	94114	(415) 874-9904	(415) 874-9369	0	LAT	chris.rivera@regentcm.com
SALAZAR ARCHITECTS STUDIO INC	COST ESTIMATING/CONSTRUCTION MGT   			Alex P. Salazar	"275 Fifth Street, Suite 310"	San Francisco	CA	94103	(415) 348-6304	(415) 541-8590	C 31322	LAT	asalazar@salazarch.com
TOM LEWIS RESTORATION & CONSULTING	COST ESTIMATING/CONSTRUCTION MGT   		GITANE WATERPROOFING	Tom  Lewis	768 Brannan Street            	San Francisco                 	CA	94610	(415) 734-9030	(415) 734-9035	0	BLK	tom@lewisrestoration.com
"TOWNSEND MANAGEMENT, INC.          "	COST ESTIMATING/CONSTRUCTION MGT   		TMI                                	Robert  Yin	P.O. Box 24442	San Francisco                 	CA	94124	(415) 285-9009	(415) 285-9011	0	A/P	robert_yin@tmi-cm.com
URBAN DESIGN CONSULTING ENGINEERS	COST ESTIMATING/CONSTRUCTION MGT   			Jason J. Ling	"4400 Market Street, Suite 800"	Oakland	CA	94608	(510) 868-1085	(510) 225-1782	C 60493	A/P	jasonling@urbandesignce.com
"W J ROBINSON & ASSOCIATES, INC.Inc."	COST ESTIMATING/CONSTRUCTION MGT   			Willie J. Robinson	369 Pine St. Ste. 220	San Francisco	CA	94104	(415) 288-0306	(415) 288-8631	0	BLK	willier@wjr-inc.com
YERBA BUENA ENGINEERING & CONSTRUCTION INC	COST ESTIMATING/CONSTRUCTION MGT   		                                   	Miguel A. Galarza	1340 Egbert Avenue	San Francisco                 	CA	94124	(415) 822-4400	(415) 467-9441	659757	LAT	mgalarza@yerba-buena.net
ON TARGET DELIVERY SERVICE	COURIER SERVICE                    			Adolphe  Philoxene	2733 Tenth Avenue             	Oakland                       	CA	94606	(510) 532-0290	(0  )    -    	T-148120       	BLK	philoxene@aol.com
SAARMAN CONSTRUCTION LIMITED       	"DEVELOPERS: HS'G, COMM'L, INDSTRL  "		ESPAVI-MC ALLISTER ASSOCIATES      	Jeffrey Michael  Saarman	683 McAllister Street         	San Francisco                 	CA	94102	(415) 749-2700	(415) 749-2709	B 450928       	LAT	
SCL INTERNATIONAL	"DOORS, WINDOWS, MILLWORK WOOD MFG  "		DBA CALIFORNIA ARCHITECTURAL PRODUCTS	Crandall  Lee	2095 Jerrold Avenue #215	San Francisco	CA	94124	(415) 821-1900	(415) 821-1900	0	A/P	capintl@pacbell.net
"CHEROKEE ARCHITECTURAL METALS, LLC"	DOORS/GATES/ACTIVATING DEVICES D-28			Stuart w. Gibbs	1100 E. Houston Street	Broken Arrow	OK	74012	(918) 258-5700	(918) 258-5690	720473	IND	dlyons@cherokeearch.com
G & C EQUIPMENT CORPORATION	DRILLING/BLASTING/OIL FLD WRK (D-9)		GENCE CORPORATION                  	Eugene  Hale	P.O. Box 5419	Gardena	CA	90249	(310) 515-6715	(310) 515-5046	469940	BLK	eddie@gandccorp.com
BOYETT CONSTRUCTION INC            	DRYWALL (C-9)                      		                                   	Vernon Hugo  Boyett	2404 Tripaldi Way	Hayward	CA	94545	(510) 264-9100	(510) 264-9105	557242	LAT	
D & M PLASTERING CO INC            	DRYWALL (C-9)                      		                                   	Donald Ray  Minor	"850 South Van Ness Avenue, Ste 38"	San Francisco	CA	94110	(415) 824-8850	(415) 282-0860	607291	BLK	dmplaster@sbcglobal.net
MAJESTIC CONSTRUCTION	DRYWALL (C-9)                      			Kevin G. Lau	"850 South Van Ness Avenue, Ste 22"	San Francisco	CA	94110	(415) 648-9826	(415) 648-9835	629031	A/P	kevinglau@gmail.com
OCEAN SPRAY PLASTERING CO          	DRYWALL (C-9)                      		                                   	Walter Leon Rainwater	986 Hagmann Court             	San Diego                     	CA	92114	(619) 697-9655		183148	BLK	
PRECISION DRYWALL	DRYWALL (C-9)                      			Nehemiah  Brown	150 Mendell Street	San Francisco	CA	94124	(415) 550-8880	(415) 822-2714	747202	BLK	Nehemiah254@yahoo.com
SOUTHSIDE PAINTING                 	DRYWALL (C-9)                      			Leonard D. Mejia	32 Sheridan Street            	San Francisco                 	CA	94103	(415) 552-6333	(415) 552-3721	339784	LAT	lenny32@pacbell.net
WESTERN ADDITION DRYWALL	DRYWALL (C-9)                      		                                   	James Edward  Bealum	2121 Thirty Ninth Avenue      	Oakland                       	CA	94601	(510) 533-5368	(510) 261-7133	409084	BLK	filmoe@sbcglobal.net
AL CURRY TRUCKING	DUMP TRUCKS                        		CURRY TRUCKING	Alfonzo  Curry	P.O. Box 24498                	San Francisco                 	CA	94124	(415) 716-9143	(707) 647-1542	0	BLK	alcurrytrucking@aol.com
CAMAJANI TRUCKING	DUMP TRUCKS                        			Jacob M. Camajani	2305 Lupine Court	Daly City	CA	94014	(415) 559-1875	(415) 587-4599	CA 0331353	A/P	camajanitrucking@yahoo.com
CAMESE TRANSPORTATION	DUMP TRUCKS                        			Ronald C. Camese	1485 Bayshore Blvd. PMB 143	San Francisco	CA	94124	(415) 468-2817	(415) 468-2901	5016	BLK	camesetrans@att.net
CAMKAL INDUSTRIAL TRANSPORT LLC	DUMP TRUCKS                        			Aleta M. Bryant	"1485 Bayshore Blvd, Box 158"	San Francisco	CA	94124	(415) 468-3885	(415) 468-3870	CA 324225	BLK	abryant@camkal.net
"MCD TRUCKING, LLC"	DUMP TRUCKS                        			Michael C. Dennis	2030 Burrows Street	San Francisco	CA	94134	(415) 859-0528		MC559609	BLK	smithdews@aol.com
NORTHERN TRUCK & EQUIPMENT         	DUMP TRUCKS                        		N T E	"Asteria ""Bebbie""  Yray Hunter"	P.O. Box 192883               	San Francisco                 	CA	94119	(415) 690-3140	(415) 421-0522	MCP CA0073289	FIL	bebesnte@sbcglobal.net
"SHUMATE ENTERPRISES, LLC"	DUMP TRUCKS                        		                                   	Frederick  Shumate	2111 Jenning Avenue           	San Francisco                 	CA	94124	(415) 725-3049	(415) 822-7988	0	BLK	fredrickshumate@yahoo.com
ESQUIVEL GRADING & PAVING INC      	EARTHWORK (C-12)                   		                                   	Ralph Gerald  Esquivel	918 Ingerson Avenue	San Francisco                 	CA	94124	(415) 468-5700	(415) 468-8108	463185	LAT	audrey@esquivel-gp.com
CONLEY CONSULTING GROUP	"ECONOMISTS, URBAN & REAL ESTATE    "		                                   	Denise  Conley	"311 Oak Street, Apt. 110"	Oakland                       	CA	94607	(510) 625-1448	(510) 625-1151	0	BLK	dconley@conley-group.com
MICHAEL SIMMONS PROPERTY DEVELOPMENT	"ECONOMISTS, URBAN & REAL ESTATE    "			Michael  Simmons	2370 Market Street #458	San Francisco	CA	94114	(415) 845-5527	(415) 358-8842	0	BLK	michaels@mspdi.com
NORTHBRIDGE GROUP INC	"ECONOMISTS, URBAN & REAL ESTATE    "		                                   	John L. Guillory	6352 Ridgemont Drive	Oakland	CA	94619	(510) 531-7388	(510) 531-5874	RE 01147638	BLK	jguillory@concordisrealestate.com
POLARIS RESEARCH & DEVELOPMENT     	"ECONOMISTS, URBAN & REAL ESTATE    "		                                   	Noel A. Day	390 4th Street                	San Francisco                 	CA	94107	(415) 777-3229	(0  )    -    	0	BLK	
"WESTERRA INVESTMENTS, LLC"	"ECONOMISTS, URBAN & REAL ESTATE    "			Leah  Segawa	1563 Salano Ave. #188	Berkeley	CA	94707	(510) 528-7800	(510) 217-3819	0	A/P	lsegawa@yahoo.com
CELESTIAL TECHNOLOGIES INC	"ELECTRIC POWER GENERATION, TRANSMIS"			Lonnie  Hillman	1201 Shafter Avenue	San Francisco	CA	94124	(415) 822-2383	(510) 430-0873	853215	BLK	lonniehillman@gmail.com
ALIGHT ELECTRIC                    	ELECTRICAL (C-10)                  		                                   	Bilill  Wong	"2030 Balboa Street, Suite 1"	San Francisco                 	CA	94121	(415) 751-1085	(650) 994-3280	451054	A/P	alight94080@yahoo.com
AMERICAN CONSTRUCTION AND SUPPLY   	ELECTRICAL (C-10)                  		                                   	Rodolfo Enrique  Arana	PO Box 410	Corta Madera	CA	94976	(415) 927-2024	(415) 927-1723	A 310599       	LAT	
AU ELECTRIC CORPORATION	ELECTRICAL (C-10)                  			Yat-Pang  Au	499 E. Taylor St.	San Jose	CA	95112	(408) 298-8888	(408) 298-8899	381840	A/P	yau@aec-alarms.com
"BARRI ELECTRIC COMPANY, INC ."	ELECTRICAL (C-10)                  		                                   	Ernie B. Ulibarri	61 Napoleon Street	San Francisco                 	CA	94124	(415) 468-6477	(415) 468-7191	550342	LAT	ernie@barrielectric.com
BAY AREA SYSTEMS AND SOLUTIONS INC 	ELECTRICAL (C-10)                  		BASS ELECTRIC                      	Jeffrey  J. Yee	856 Folsom St.                	San Francisco                 	CA	94107	(415) 295-1600	(415) 856-0381	765671	A/P	jtrevino@basselectric.net
CELESTIAL TECHNOLOGIES INC	ELECTRICAL (C-10)                  			Lonnie  Hillman	1201 Shafter Avenue	San Francisco	CA	94124	(415) 822-2383	(510) 430-0873	853215	BLK	lonniehillman@gmail.com
ELIJAH ELECTRIC INC.	ELECTRICAL (C-10)                  		                                   	Luis J. Martinez	"1220 Reno Avenue, Suite. G"	Modesto                       	CA	95351	(209) 577-0488	(209) 577-0483	813013	LAT	louielou@sbcglobal.net
"HUEY CONSTRUCTION MANAGEMENT CO., INC."	ELECTRICAL (C-10)                  		dba M H CONSTRUCTION MANAGEMENT CO.	Matthew  Huey	1630 17th Street	San Francisco                 	CA	94107	(415) 588-9778	(415) 558-9612	B 575228       	A/P	hueymhc@yahoo.com
"J H INTEGRATED SYSTEMS, INC."	ELECTRICAL (C-10)                  		HANSON ELECTRICAL                  	Jonathan  Lee	125 Quint Street              	San Francisco                 	CA	94124	(415) 642-4905	(415) 401-9786	759262	A/P	jlathjoffice@yahoo.com
"J Y ELECTRICAL CONSTRUCTION CO, INC"	ELECTRICAL (C-10)                  			Jimmy  Yu	361 Raymond Avenue.	San Francisco	CA	94134	(415) 559-1567	(415) 467-7233	777162	A/P	jimmy@jygroups.com
L C GENERAL ENGINEERING & CONST	ELECTRICAL (C-10)                  		L C ELECTRIC	Leo K. Choy	1596 Hudson Avenue            	San Francisco                 	CA	94124-2176	(415) 643-2888	(415) 643-2889	742273	A/P	leo@lcgeneral.com
"MNJ ROOFING, INC."	ELECTRICAL (C-10)                  			Myung Jun  Song	7844 Crest Avenue	Oakland	CA	94605	(510) 247-1121	(510) 889-8814	831633	A/P	mnjroofing@yahoo.com
MYT CONSTRUCTION INC DBA DELTA ELECTRIC	ELECTRICAL (C-10)                  			Chock C. Tang	725 E. 11th Street	Oakland	CA	94606	(510) 812-4918	(510) 594-1227	872328	A/P	lucychiang11@yahoo.com
N E S SYSTEMS INC	ELECTRICAL (C-10)                  			Bernard  Norman	P.O.Box 880033	San Francisco	CA	94188	(415) 676-1993		857901	BLK	bnorman@nessystems.com
OKEEFFE MECHANICAL CO INC	ELECTRICAL (C-10)                  		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
P AND E COMPANY	ELECTRICAL (C-10)                  			Tony  Lei	46 Exeter Street	San Francisco	CA	94124	(415) 335-8812	(415) 467-7288	743178	A/P	tonypande@hotmail.com
"PARS POWER, INC."	ELECTRICAL (C-10)                  		CALWEST CONSTRUCTION & CALWEST CONCRETE	Rajen J. Patel	"1255 Post Street, Suite 532"	San Francisco	CA	94109	(415) 420-8537	(415) 236-6180	885711	EIN	Calwestcon@gmail.com
PHOENIX ELECTRIC COMPANY	ELECTRICAL (C-10)                  			David  Lau	P.O. Box 883034	San Francisco	CA	94188	(415) 671-3858	(415) 671-3827	811031	A/P	cspecsf@yahoo.com
R & R ELECTRIC                     	ELECTRICAL (C-10)                  		                                   	Ralph  Cook	604 13th Street	Richmond	CA	94801	(510) 385-1572	(510) 215-2722	760346	BLK	
STARLITE ELECTRIC INC              	ELECTRICAL (C-10)                  		BA ALERT SYSTEM	William  Lee	1246 Carroll Avenue	San Francisco	CA	94124	(415) 648-8888	(415) 648-8895	716595	A/P	bill@starliteinc.com
SUN ELECTRIC SYSTEMS               	ELECTRICAL (C-10)                  		                                   	U. U. Paul Lucas	608 Campbell Avenue	San Francisco                 	CA	94134	(415) 715-0275	(415) 715-0258	417061	BLK	plucassf1501@yahoo.com
THREE BROTHERS ELECTRICAL CONTRACTORS	ELECTRICAL (C-10)                  			Alex B. Jones	"895 'B"" Street #219"	Hayward	CA	94541	(510) 402-4177	(510) 474-3943	885548	BLK	tbecontractors@mac.com
"U S ELECTRIC TECHNOLOGIES, INC."	ELECTRICAL (C-10)                  			Samuel  Lee	1061 Folsom Street	San Francisco	CA	94103	(415) 553-4037	(415) 553-4038	713221	A/P	uselectricsf@yahoo.com
WILLIE ELECTRIC COMPANY	ELECTRICAL (C-10)                  			Christopher  Albert	1332 - 103rd Avenue	Oakland	CA	94603	(510) 633-5730	(510) 208-5344	607099	BLK	ccolumbus@yahoo.com
YUMS MECHANICAL CO INC	ELECTRICAL (C-10)                  		                                   	Park  Jung	1649 Jerrold Avenue           	San Francisco                 	CA	94124-2134	(415) 642-1818	(415) 642-1840	583839	A/P	parkjung@sbcglobal.net
CATCO SERVICES	ELECTRICAL CONSTRUCTION MATERIALS- 	WHOLESALE                     		Carolyn A. Taylor	"360 Grand Avenue, Suite 246"	Oakland	CA	94610	(510) 435-8453	(510) 655-4401	SR CH 99-926396	BLK	info@catcoservices.com
CENTENNIAL DISTRIBUTORS INC.	ELECTRICAL CONSTRUCTION MATERIALS- 	WHOLESALE                     	                                   	Carlos A. Quiroz	3176 Seventeenth Street       	San Francisco                 	CA	94110	(415) 861-1676	(0  )    -    	0	LAT	centdist@pacbell.net
OMEGA PACIFIC ELECTRICAL SUPPLY INC	ELECTRICAL CONSTRUCTION MATERIALS- 	WHOLESALE                     	                                   	Ivy  Lewis	"1555 Burke Avenue, Unit #B"	San Francisco                 	CA	94124	(415) 642-2195	(415) 642-2198	0	BLK	tlewis@omegapacific.com
PEER LIGHT INC                     	ELECTRICAL CONSTRUCTION MATERIALS- 	WHOLESALE                     	                                   	Tony K. Leong	301 Tolland  Street           	San Francisco                 	CA	94124	(415) 206-0689	(415) 206-0779	0	A/P	peerlight@yahoo.com
SAFECO ELECTRIC SUPPLY	ELECTRICAL CONSTRUCTION MATERIALS- 	WHOLESALE                     	SAFECO SUPPLIES	Tony K. Leong	301 Toland Street	San Francisco                 	CA	94124	(415) 206-0368	(415) 946-3389	0	A/P	safecousa@yahoo.com
"AJMANI & PAMIDI, INC."	ELECTRICAL ENGINEER                			Harjinder S. Ajmani	"101 California Street, Suite 2025"	San Francisco                 	CA	94111	(415) 543-9344	(415) 543-0670	E 10472	EIN	satishpamidi@apincsf.com
BHATIA ASSOCIATES	ELECTRICAL ENGINEER                		                                   	Satwant S. Bhatia	120 Montgomery St. Suite 1260	San Francisco                 	CA	94104	(415) 646-0050	(415) 646-0063	E 10555        	EIN	sat@bhatiaassociates.com
C & N ENGINEERS INC                	ELECTRICAL ENGINEER                		                                   	Dennis Pak-Shing  Cheung	"22 Battery Street, Suite 508  "	San Francisco                 	CA	94111	(415) 982-1828	(415) 982-8005	E 9279         	A/P	dcheung@cnengr.com
CERBATOS & ASSOCIATES              	ELECTRICAL ENGINEER                			Agripino R. Cerbatos	"3201 Taraval Street, #1"	San Francisco                 	CA	94116	(415) 682-8301		E 6374         	FIL	cerb@earthlink.net
EDESIGNC INCORPORATED	ELECTRICAL ENGINEER                			Rosanna  Lerma	"760 Market Street, Suite 338"	San Francisco	CA	94102	(415) 963-4303	(415) 963-4341	E 15977	LAT	rosanna@edesignc.com
RAY I JUACHON & ASSOCIATES	ELECTRICAL ENGINEER                		                                   	Ray I. Juachon	"919 Florida St., Unit #A"	San Francisco	CA	94110	(415) 920-3737	(415) 920-3733	E 8122         	FIL	ray@rijainc.com
"AEW ENGINEERING, INC."	ENVIRONMENTAL IMPACT CONSULTANTS   		                                   	Kenneth  Leung	"55 New Montgomery Street,.Suite 722"	San Francisco                 	CA	94105	(415) 495-8400	(415) 358-5598	C 47529	A/P	kleung@aewengineering.com
AGS INC	ENVIRONMENTAL IMPACT CONSULTANTS   		                                   	Dennis C. Wong	"111 New Montgomery St, Ste 500"	San Francisco                 	CA	94105	(415) 777-2166	(415) 777-4874	C 70513	A/P	twong@agsinc.com
APEX TESTING LABORATORIES	ENVIRONMENTAL IMPACT CONSULTANTS   		                                   	Abdel-kader  Khelifa	"3450 - Third Street, #3E"	San Francisco                 	CA	94124	(415) 550-9800	(415) 550-9880	C 57368	BLK	abdel@apextestinglabs.com
BDI INC	ENVIRONMENTAL IMPACT CONSULTANTS   		BDI	Calvin  Hayes	"1485 BAYSHORE BLVD., Box 157"	San Francisco	CA	94124	(415) 671-2150	(415) 671-2157	0	BLK	cphbdi@aol.com
F E JORDAN ASSOCIATES INC	ENVIRONMENTAL IMPACT CONSULTANTS   			Frederick E Jordan	"11 Embarcadero West, Suite 210"	Oakland	CA	94607	(510) 763-2400	(510) 399-0244	C17468	BLK	fejoak@fejordan.com
PITTMAN &  ASSOCIATES	ENVIRONMENTAL IMPACT CONSULTANTS   			Donna R. Pittman	"22 Battery Street, Suite 413"	San Francisco                 	CA	94111	(415) 394-7900	(415) 394-7747	0	BLK	donnarp@pacbell.net
"RAIBON & COLBERT ASSOCIATES, INC."	ENVIRONMENTAL IMPACT CONSULTANTS   		                                   	Regina R. Colbert	"50 California Street, #1500"	San Francisco                 	CA	94111	(415) 951-4709	(866) 203-2915	0	BLK	grcolbert@comcast.net
WARD & ASSOCIATES                  	ENVIRONMENTAL IMPACT CONSULTANTS   		                                   	"William ""Bill""  Ward"	"944 Market Street, Suite 610"	San Francisco                 	CA	94102	(415) 616-0800	(415) 616-0808	0	BLK	bward@wardllc.com
"KEL CRANE, INC.                    "	EQUIPMENT SUPPLIER                 	NON-SPECIALIZED (D-64)        	                                   	Kenneth  Hubbard	P.O. Box 5610	South San Francisco           	CA	94083	(650) 872-2700	(650) 872-2701	0	BLK	kelcrane@sbcglobal.net
HANDY REBAR SERVICES INC.	FABRICATED STRUCTURAL STEEL        		                                   	"C. L.  Handy, Jr."	1101A Embarcadero West        	Oakland                       	CA	94607	(510) 444-5181	(510) 444-5182	0	BLK	rod-men@msn.com
C M S C	FACILITIES SUPPORT MANAGEMENT SVCS 		COSTLESS MAINTENANCE SERVICES CO   	Norma  Edar	3254 19th Street	San Francisco                 	CA	94110	(415) 550-8819	(415) 550-8831	0	A/P	norma@costlessmaintenance.com
"BACKSTROM McCARLEY BERRY & CO., LLC"	FINANCIAL ADVISORS                 			Leonard  Berry	"115 Sansome Street, Mezz A"	San Francisco	CA	94104	(415) 392-5505	(415) 392-5276	0	BLK	vmccarley@bmcbco.com
"BORROWER'S BEST, INC."	FINANCIAL ADVISORS                 			Lisa D. Fitts	135 Castro Street	San Francisco	CA	94114	(415) 241-9400	(415) 276-2310	0	BLK	lisa@borrowersbest.com
